code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,time_idx,month
US.AAPL,Apple,2025-09-30 00:00:00,254.855,254.63,255.919,253.11,41.879,0.00254,37704259,9597205069.0,0.07860708249812862,254.43,185,9
US.AAPL,Apple,2025-10-01 00:00:00,255.04,255.45,258.79,254.93,42.014,0.00328,48713940,12470963075.0,0.32203589522051335,254.63,186,10
US.AAPL,Apple,2025-10-02 00:00:00,256.575,257.13,258.18,254.15,42.291,0.00287,42630239,10949789659.0,0.6576629477392864,255.45,187,10
US.AAPL,Apple,2025-10-03 00:00:00,254.665,258.02,259.24,253.95,42.437,0.00331,49155614,12675248751.0,0.3461284175319824,257.13,188,10
US.AAPL,Apple,2025-10-06 00:00:00,257.99,256.69,259.07,255.05,42.218,0.00301,44664118,11472834851.0,-0.515463917525767,258.02,189,10
US.AAPL,Apple,2025-10-07 00:00:00,256.805,256.48,257.4,255.43,42.184,0.00215,31955776,8193755579.0,-0.08181074447776678,256.69,190,10
US.AAPL,Apple,2025-10-08 00:00:00,256.52,258.06,258.52,256.11,42.444,0.00246,36496895,9409334653.0,0.6160324391765377,256.48,191,10
US.AAPL,Apple,2025-10-09 00:00:00,257.805,254.04,258.0,253.14,41.782,0.00258,38322012,9753341233.0,-1.5577772611020733,258.06,192,10
US.AAPL,Apple,2025-10-10 00:00:00,254.94,245.27,256.38,244.0,40.34,0.00418,61999098,15398471080.0,-3.452212250039357,254.04,193,10
US.AAPL,Apple,2025-10-13 00:00:00,249.38,247.66,249.69,245.56,40.733,0.00257,38142942,9455774236.0,0.9744363354670308,245.27,194,10
US.AAPL,Apple,2025-10-14 00:00:00,246.6,247.77,248.845,244.7,40.751,0.00239,35477986,8775438757.0,0.04441573124445355,247.66,195,10
US.AAPL,Apple,2025-10-15 00:00:00,249.485,249.34,251.82,247.47,41.009,0.00229,33893611,8459212114.0,0.6336521774226069,247.77,196,10
US.AAPL,Apple,2025-10-16 00:00:00,248.25,247.45,249.04,245.13,40.699,0.00268,39776974,9838993874.0,-0.7580011229646325,249.34,197,10
US.AAPL,Apple,2025-10-17 00:00:00,248.02,252.29,253.38,247.27,41.495,0.00331,49146961,12324083413.0,1.9559506971105287,247.45,198,10
US.AAPL,Apple,2025-10-20 00:00:00,255.885,262.24,264.375,255.63,43.131,0.0061,90483029,23679433199.0,3.943874113123793,252.29,199,10
US.AAPL,Apple,2025-10-21 00:00:00,261.88,262.77,265.29,261.83,43.218,0.00315,46695948,12300536141.0,0.20210494203781754,262.24,200,10
US.AAPL,Apple,2025-10-22 00:00:00,262.65,258.45,262.85,255.43,42.508,0.00304,45015254,11644676589.0,-1.6440232903299439,262.77,201,10
US.AAPL,Apple,2025-10-23 00:00:00,259.94,259.58,260.62,258.0101,42.694,0.00221,32754941,8502427792.0,0.43722189978719117,258.45,202,10
US.AAPL,Apple,2025-10-24 00:00:00,261.19,262.82,264.13,259.18,43.226,0.00258,38253717,10043092739.0,1.2481701209646388,259.58,203,10
US.AAPL,Apple,2025-10-27 00:00:00,264.88,268.81,269.12,264.6501,44.212,0.00303,44888152,11985374919.0,2.2791263982954146,262.82,204,10
US.AAPL,Apple,2025-10-28 00:00:00,268.985,269.0,269.89,268.15,44.243,0.0028,41534759,11172288927.0,0.07068189427476572,268.81,205,10
US.AAPL,Apple,2025-10-29 00:00:00,269.275,269.7,271.41,267.11,44.358,0.00344,51086742,13768515898.0,0.26022304832713333,269.0,206,10
US.AAPL,Apple,2025-10-30 00:00:00,271.99,271.4,274.14,268.48,36.38,0.00474,69886534,19026805967.0,0.6303299962921723,269.7,207,10
US.AAPL,Apple,2025-10-31 00:00:00,276.99,270.37,277.32,269.16,36.242,0.00584,86167123,23379515627.0,-0.3795136330139915,271.4,208,10
US.AAPL,Apple,2025-11-03 00:00:00,270.42,269.05,270.85,266.25,36.065,0.0034,50194583,13467187915.0,-0.48821984687650005,270.37,209,11
US.AAPL,Apple,2025-11-04 00:00:00,268.325,270.04,271.486,267.615,36.198,0.00334,49274846,13291815937.0,0.3679613454748222,269.05,210,11
US.AAPL,Apple,2025-11-05 00:00:00,268.61,270.14,271.7,266.93,36.211,0.00296,43683072,11786398543.0,0.03703155088133828,270.04,211,11
US.AAPL,Apple,2025-11-06 00:00:00,267.89,269.77,273.4,267.89,36.162,0.00347,51204045,13861638554.0,-0.13696601762049476,270.14,212,11
US.AAPL,Apple,2025-11-07 00:00:00,269.795,268.47,272.29,266.77,35.987,0.00327,48227365,12973407220.0,-0.481891982058774,269.77,213,11
US.AAPL,Apple,2025-11-10 00:00:00,268.96,269.43,273.73,267.455,36.116,0.0028,41312412,11156771996.0,0.35758185272096676,268.47,214,11
US.AAPL,Apple,2025-11-11 00:00:00,269.81,275.25,275.91,269.8,36.896,0.00313,46208318,12664070932.0,2.160115800022267,269.43,215,11
US.AAPL,Apple,2025-11-12 00:00:00,275.0,273.47,275.73,271.7,36.658,0.00328,48397982,13254788554.0,-0.6466848319709256,275.25,216,11
US.AAPL,Apple,2025-11-13 00:00:00,274.11,272.95,276.699,272.09,36.588,0.00336,49602794,13559722441.0,-0.190148828025026,273.47,217,11
US.AAPL,Apple,2025-11-14 00:00:00,271.05,272.41,275.96,269.6,36.516,0.00322,47431331,12953890184.0,-0.19783843194722978,272.95,218,11
US.AAPL,Apple,2025-11-17 00:00:00,268.815,267.46,270.49,265.73,35.852,0.00305,45018260,12064178562.0,-1.8171139091810304,272.41,219,11
US.AAPL,Apple,2025-11-18 00:00:00,269.99,267.44,270.71,265.32,35.849,0.0031,45677278,12228948720.0,-0.007477753682786888,267.46,220,11
US.AAPL,Apple,2025-11-19 00:00:00,265.525,268.56,272.21,265.5,36.0,0.00274,40424492,10887328510.0,0.41878552198624164,267.44,221,11
US.AAPL,Apple,2025-11-20 00:00:00,270.83,266.25,275.43,265.92,35.69,0.00311,45823568,12348055838.0,-0.860142984807865,268.56,222,11
US.AAPL,Apple,2025-11-21 00:00:00,265.95,271.49,273.33,265.67,36.392,0.004,59030832,15968739919.0,1.9680751173708952,266.25,223,11
US.AAPL,Apple,2025-11-24 00:00:00,270.9,275.92,277.0,270.9,36.986,0.00445,65585796,18056686738.0,1.6317359755423797,271.49,224,11
US.AAPL,Apple,2025-11-25 00:00:00,275.27,276.97,280.38,275.25,37.127,0.00318,46914220,13041996588.0,0.38054508553204236,275.92,225,11
US.AAPL,Apple,2025-11-26 00:00:00,276.96,277.55,279.53,276.63,37.205,0.00227,33431423,9295494796.0,0.2094089612593364,276.97,226,11
US.AAPL,Apple,2025-11-28 00:00:00,277.26,278.85,279.0,275.9865,37.379,0.00137,20135620,5590221297.0,0.46838407494145606,277.55,227,11
US.AAPL,Apple,2025-12-01 00:00:00,278.01,283.1,283.42,276.14,37.949,0.00316,46587722,13094420515.0,1.5241169087322932,278.85,228,12
US.AAPL,Apple,2025-12-02 00:00:00,283.0,286.19,287.4,282.6301,38.363,0.00364,53669532,15327717663.0,1.0914871070293093,283.1,229,12
US.AAPL,Apple,2025-12-03 00:00:00,286.2,284.15,288.62,283.3,38.089,0.00295,43538687,12431746547.0,-0.7128131660784864,286.19,230,12
US.AAPL,Apple,2025-12-04 00:00:00,284.095,280.7,284.73,278.59,37.627,0.00298,43989056,12350198582.0,-1.2141474573288715,284.15,231,12
US.AAPL,Apple,2025-12-05 00:00:00,280.54,278.78,281.14,278.05,37.369,0.00321,47265845,13194542502.0,-0.6840042750267246,280.7,232,12
US.AAPL,Apple,2025-12-08 00:00:00,278.13,277.89,279.6693,276.15,37.25,0.00259,38211832,10605240578.0,-0.31924815266517914,278.78,233,12
US.AAPL,Apple,2025-12-09 00:00:00,278.16,277.18,280.03,276.92,37.155,0.00218,32193256,8943912598.0,-0.25549677930115494,277.89,234,12
US.AAPL,Apple,2025-12-10 00:00:00,277.75,278.78,279.75,276.44,37.369,0.00224,33038318,9200505094.0,0.5772422252687661,277.18,235,12
US.AAPL,Apple,2025-12-11 00:00:00,279.095,278.03,279.59,273.81,37.269,0.00225,33247986,9215533415.0,-0.2690293421335821,278.78,236,12
US.AAPL,Apple,2025-12-12 00:00:00,277.9,278.28,279.22,276.82,37.302,0.00268,39532887,10999892603.0,0.08991835413444593,278.03,237,12
US.AAPL,Apple,2025-12-15 00:00:00,280.15,274.11,280.15,272.84,36.743,0.00342,50409078,13837640922.0,-1.498490728762383,278.28,238,12
US.AAPL,Apple,2025-12-16 00:00:00,272.82,274.61,275.5,271.79,36.81,0.00255,37648628,10311060983.0,0.18240852212615374,274.11,239,12
US.AAPL,Apple,2025-12-17 00:00:00,275.01,271.84,276.16,271.64,36.439,0.0034,50138743,13687443902.0,-1.0087032518845047,274.61,240,12
US.AAPL,Apple,2025-12-18 00:00:00,273.605,272.19,273.63,266.95,36.486,0.0035,51630721,14009294074.0,0.1287522071807029,271.84,241,12
US.AAPL,Apple,2025-12-19 00:00:00,272.145,273.67,274.6,269.9,36.684,0.00981,144632048,39462105404.0,0.5437378301921518,272.19,242,12
US.AAPL,Apple,2025-12-22 00:00:00,272.86,270.97,273.88,270.505,36.323,0.00248,36571827,9932067362.0,-0.986589688310735,273.67,243,12
US.AAPL,Apple,2025-12-23 00:00:00,270.84,272.36,272.5,269.56,36.509,0.00201,29641999,8055951398.0,0.512971915710221,270.97,244,12
US.AAPL,Apple,2025-12-24 00:00:00,272.34,273.81,275.43,272.195,36.703,0.00121,17910574,4911169681.0,0.5323836099280322,272.36,245,12
US.AAPL,Apple,2025-12-26 00:00:00,274.16,273.4,275.37,272.86,36.648,0.00146,21521802,5899682486.0,-0.14973887001936562,273.81,246,12
